"DR_NO","Date.Rptd","DATE.OCC","TIME.OCC","AREA","AREA.NAME","Rpt.Dist.No","Part.1.2","Crm.Cd","Crm.Cd.Desc","Vict.Age","Vict.Sex","Vict.Descent","Premis.Cd","Premis.Desc","Status","Status.Desc","Crm.Cd.1","LOCATION","LAT","LON","year","Descent_Description","month","Hour"
240605908,"02/08/2024 12:00:00 AM",2024-02-07,"22:45",6,"Hollywood",648,1,310,"BURGLARY",28,"M","O",503,"HOTEL","IC","Invest Cont",310,"1500 N  WESTERN                      AV",34.0982,-118.3092,2024,"Other","2024-02","22"
241504849,"01/17/2024 12:00:00 AM",2024-01-17,"15:51",15,"N Hollywood",1522,1,440,"THEFT PLAIN - PETTY ($950 & UNDER)",0,"M","O",203,"OTHER BUSINESS","AO","Adult Other",440,"13000    SHERMAN                      WY",34.2012,-118.416,2024,"Other","2024-01","15"
242104485,"01/12/2024 12:00:00 AM",2024-01-12,"12:00",21,"Topanga",2134,2,354,"THEFT OF IDENTITY",69,"F","W",501,"SINGLE FAMILY DWELLING","IC","Invest Cont",354,"22000    SHERMAN                      WY",34.201,-118.606,2024,"White","2024-01","12"
240807550,"04/01/2024 12:00:00 AM",2024-03-29,"14:09",8,"West LA",858,2,649,"DOCUMENT FORGERY / STOLEN FELONY",24,"F","W",501,"SINGLE FAMILY DWELLING","IC","Invest Cont",649,"1700    LIVONIA                      AV",34.049,-118.3865,2024,"White","2024-03","14"
241608822,"06/13/2024 12:00:00 AM",2024-06-12,"17:15",16,"Foothill",1681,1,420,"THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)",0,"","",101,"STREET","IC","Invest Cont",420,"8600    LAUREL CANYON                BL",34.2251,-118.4039,2024,"Unknown","2024-06","17"
240310005,"04/24/2024 12:00:00 AM",2024-04-24,"13:15",3,"Southwest",362,2,624,"BATTERY - SIMPLE ASSAULT",54,"M","H",101,"STREET","IC","Invest Cont",624,"4500    PINAFORE                     ST",34.0133,-118.3487,2024,"Hispanic/Latin/Mexican","2024-04","13"
241313866,"10/12/2024 12:00:00 AM",2024-10-11,"06:20",13,"Newton",1362,1,510,"VEHICLE - STOLEN",0,"","",101,"STREET","IC","Invest Cont",510,"5100 S  MAIN                         ST",33.9965,-118.274,2024,"Unknown","2024-10","06"
240506152,"02/27/2024 12:00:00 AM",2024-02-27,"03:59",5,"Harbor",566,1,310,"BURGLARY",0,"X","X",402,"MARKET","IC","Invest Cont",310,"300 W  8TH                          ST",33.737,-118.2836,2024,"Unknown","2024-02","03"
241805334,"01/29/2024 12:00:00 AM",2024-01-21,"22:00",18,"Southeast",1838,1,510,"VEHICLE - STOLEN",0,"","",101,"STREET","IC","Invest Cont",510,"2100 E  105TH                        ST",33.9406,-118.2349,2024,"Unknown","2024-01","22"
241908825,"05/11/2024 12:00:00 AM",2024-05-11,"16:50",19,"Mission",1985,1,210,"ROBBERY",0,"X","X",404,"DEPARTMENT STORE","IC","Invest Cont",210,"8300    VAN NUYS                     BL",34.2215,-118.4488,2024,"Unknown","2024-05","16"
